,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,topic,Cluster
Doc86,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc87,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc88,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc89,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc90,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc91,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc92,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc93,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc94,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc95,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc96,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc97,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc98,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc99,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc100,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc101,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc102,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc103,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc104,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc105,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc106,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc107,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc108,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc109,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc110,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc111,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc112,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc113,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc114,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
