,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 830,0.01,0.01,0.93,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 831,0.03,0.03,0.03,0.09,0.03,0.78,0.03,Topic 5,Cluster 0
Doc 832,0.94,0.01,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 1
Doc 833,0.01,0.01,0.01,0.11,0.81,0.01,0.01,Topic 4,Cluster 0
Doc 834,0.01,0.77,0.01,0.01,0.18,0.01,0.01,Topic 1,Cluster 1
Doc 835,0.02,0.02,0.02,0.02,0.87,0.02,0.02,Topic 4,Cluster 0
Doc 836,0.01,0.01,0.93,0.01,0.01,0.01,0.01,Topic 2,Cluster 1
Doc 837,0.02,0.02,0.02,0.56,0.36,0.02,0.02,Topic 3,Cluster 0
Doc 838,0.02,0.02,0.02,0.02,0.65,0.28,0.02,Topic 4,Cluster 0
Doc 839,0.01,0.01,0.01,0.01,0.18,0.75,0.01,Topic 5,Cluster 0
Doc 840,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 1
Doc 841,0.74,0.01,0.01,0.01,0.19,0.01,0.01,Topic 0,Cluster 0
Doc 842,0.02,0.01,0.01,0.35,0.58,0.01,0.01,Topic 4,Cluster 0
Doc 843,0.01,0.01,0.55,0.01,0.38,0.01,0.01,Topic 2,Cluster 0
Doc 844,0.01,0.01,0.01,0.01,0.6,0.33,0.01,Topic 4,Cluster 1
Doc 845,0.01,0.01,0.75,0.01,0.19,0.01,0.01,Topic 2,Cluster 1
Doc 846,0.02,0.02,0.02,0.9,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 847,0.01,0.01,0.03,0.05,0.88,0.01,0.01,Topic 4,Cluster 0
Doc 848,0.03,0.2,0.01,0.01,0.71,0.01,0.01,Topic 4,Cluster 1
Doc 849,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 850,0.01,0.01,0.01,0.03,0.9,0.01,0.01,Topic 4,Cluster 0
Doc 851,0.62,0.02,0.02,0.02,0.31,0.02,0.01,Topic 0,Cluster 1
Doc 852,0.02,0.02,0.02,0.02,0.89,0.03,0.02,Topic 4,Cluster 0
Doc 853,0.01,0.01,0.93,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 854,0.02,0.01,0.02,0.02,0.91,0.02,0.01,Topic 4,Cluster 0
Doc 855,0.93,0.01,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 0
Doc 856,0.02,0.02,0.02,0.02,0.66,0.25,0.02,Topic 4,Cluster 0
Doc 857,0.01,0.01,0.41,0.01,0.52,0.01,0.01,Topic 4,Cluster 0
Doc 858,0.88,0.01,0.01,0.01,0.07,0.01,0.01,Topic 0,Cluster 1
Doc 859,0.04,0.01,0.01,0.01,0.9,0.01,0.01,Topic 4,Cluster 0
Doc 860,0.01,0.63,0.07,0.01,0.26,0.01,0.01,Topic 1,Cluster 1
Doc 861,0.02,0.02,0.02,0.02,0.85,0.07,0.02,Topic 4,Cluster 0
Doc 862,0.02,0.02,0.02,0.02,0.8,0.13,0.02,Topic 4,Cluster 1
Doc 863,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 864,0.02,0.01,0.01,0.2,0.73,0.01,0.01,Topic 4,Cluster 0
Doc 865,0.01,0.01,0.03,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 866,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 867,0.02,0.02,0.02,0.02,0.84,0.08,0.02,Topic 4,Cluster 0
Doc 868,0.25,0.01,0.11,0.01,0.59,0.01,0.01,Topic 4,Cluster 1
Doc 869,0.01,0.01,0.01,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 870,0.11,0.01,0.01,0.01,0.82,0.01,0.01,Topic 4,Cluster 1
Doc 871,0.01,0.01,0.01,0.01,0.88,0.05,0.01,Topic 4,Cluster 0
Doc 872,0.02,0.02,0.02,0.02,0.02,0.85,0.02,Topic 5,Cluster 0
Doc 873,0.03,0.03,0.03,0.79,0.03,0.03,0.03,Topic 3,Cluster 0
Doc 874,0.01,0.01,0.01,0.01,0.62,0.19,0.13,Topic 4,Cluster 0
Doc 875,0.74,0.01,0.01,0.01,0.2,0.01,0.01,Topic 0,Cluster 0
Doc 876,0.01,0.74,0.01,0.01,0.21,0.01,0.01,Topic 1,Cluster 1
Doc 877,0.01,0.01,0.73,0.01,0.21,0.01,0.01,Topic 2,Cluster 0
Doc 878,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 1
Doc 879,0.01,0.01,0.01,0.02,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 880,0.01,0.01,0.01,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 881,0.02,0.02,0.02,0.02,0.82,0.1,0.02,Topic 4,Cluster 1
Doc 882,0.02,0.02,0.61,0.02,0.31,0.02,0.02,Topic 2,Cluster 0
Doc 883,0.6,0.01,0.02,0.01,0.33,0.01,0.01,Topic 0,Cluster 1
Doc 884,0.01,0.01,0.02,0.01,0.92,0.01,0.01,Topic 4,Cluster 0
Doc 885,0.02,0.02,0.02,0.88,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 886,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 887,0.69,0.01,0.01,0.01,0.23,0.01,0.01,Topic 0,Cluster 0
Doc 888,0.02,0.02,0.02,0.02,0.73,0.17,0.02,Topic 4,Cluster 0
Doc 889,0.94,0.01,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 0
Doc 890,0.02,0.02,0.02,0.02,0.86,0.06,0.02,Topic 4,Cluster 0
Doc 891,0.16,0.01,0.01,0.01,0.76,0.01,0.01,Topic 4,Cluster 0
Doc 892,0.02,0.01,0.01,0.01,0.92,0.02,0.01,Topic 4,Cluster 0
Doc 893,0.01,0.01,0.01,0.01,0.71,0.22,0.01,Topic 4,Cluster 1
Doc 894,0.62,0.01,0.01,0.01,0.24,0.1,0.01,Topic 0,Cluster 0
Doc 895,0.03,0.01,0.02,0.01,0.89,0.01,0.01,Topic 4,Cluster 0
Doc 896,0.01,0.01,0.01,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 897,0.01,0.01,0.8,0.01,0.13,0.01,0.01,Topic 2,Cluster 0
Doc 898,0.12,0.02,0.02,0.02,0.68,0.14,0.02,Topic 4,Cluster 0
Doc 899,0.02,0.02,0.02,0.03,0.84,0.07,0.02,Topic 4,Cluster 0
Doc 900,0.94,0.01,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 1
Doc 901,0.7,0.01,0.01,0.01,0.24,0.01,0.01,Topic 0,Cluster 0
Doc 902,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 903,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 904,0.01,0.01,0.92,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 905,0.8,0.01,0.01,0.01,0.13,0.01,0.01,Topic 0,Cluster 1
Doc 906,0.02,0.02,0.02,0.02,0.73,0.19,0.02,Topic 4,Cluster 0
