,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 100,0.0,0.0,0.0,0.0,0.0,0.4,0.59,Topic 6,Cluster 1
Doc 101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 102,0.06,0.0,0.0,0.0,0.71,0.22,0.0,Topic 4,Cluster 1
Doc 103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 104,0.0,0.0,0.0,0.0,0.97,0.03,0.0,Topic 4,Cluster 1
Doc 105,0.19,0.0,0.0,0.0,0.0,0.8,0.0,Topic 5,Cluster 1
Doc 106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 107,0.0,0.0,0.0,0.0,0.0,0.0,0.99,Topic 6,Cluster 1
Doc 108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 109,0.19,0.0,0.8,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 110,0.41,0.0,0.16,0.0,0.0,0.0,0.43,Topic 6,Cluster 1
Doc 111,0.0,0.0,0.2,0.24,0.55,0.0,0.0,Topic 4,Cluster 1
Doc 112,0.0,0.0,0.27,0.0,0.33,0.0,0.4,Topic 6,Cluster 1
Doc 113,0.0,0.0,0.0,0.0,0.65,0.0,0.35,Topic 4,Cluster 1
Doc 114,0.0,0.0,0.0,0.05,0.95,0.0,0.0,Topic 4,Cluster 1
Doc 115,0.41,0.0,0.0,0.0,0.33,0.0,0.25,Topic 0,Cluster 1
Doc 116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 117,0.02,0.0,0.0,0.0,0.76,0.0,0.22,Topic 4,Cluster 1
Doc 118,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 120,0.08,0.0,0.16,0.0,0.0,0.76,0.0,Topic 5,Cluster 1
Doc 121,0.19,0.17,0.0,0.0,0.64,0.0,0.0,Topic 4,Cluster 1
Doc 122,0.0,0.0,0.0,0.3,0.0,0.0,0.69,Topic 6,Cluster 1
Doc 123,0.0,0.83,0.0,0.11,0.06,0.0,0.0,Topic 1,Cluster 1
Doc 124,0.0,0.0,0.25,0.0,0.0,0.0,0.74,Topic 6,Cluster 1
Doc 125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 126,0.06,0.01,0.0,0.87,0.0,0.0,0.05,Topic 3,Cluster 1
Doc 127,0.0,0.0,0.0,0.0,0.98,0.0,0.0,Topic 4,Cluster 1
Doc 128,0.4,0.0,0.0,0.0,0.6,0.0,0.0,Topic 4,Cluster 1
Doc 129,0.0,0.0,0.0,0.0,0.68,0.0,0.32,Topic 4,Cluster 1
Doc 130,0.0,0.0,0.14,0.06,0.76,0.0,0.04,Topic 4,Cluster 1
Doc 131,0.22,0.77,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 132,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
